Année,Titre,Text
1970,Ceintures à l'avant,Les voitures neuvent doivent contenir des ceintures de sécurité pour les places avant.
1978,Ceintures à l'arrière,Les voitures neuves doivent contenir des ceintures de sécurité pour les places arrière.
1980,Airbags,Premiers airbags sur des voitures de série
2003,Radars,Mise en place des radars automatiques
