pays,annee,total,male,female,F 00-14,M 00-14,F 15-29,M 15-29,F 30-44,M 30-44,F 45-59,M 45-59,F 60+,M 60+,00-14,15-29,30-44,45-59,60+
Argentina,1997,35833969.0,17545244,18288725,5047349.0,5210061.0,4443926.0,4478892.0,3419217.0,3342953.0,2618464.0,2470901.0,2759769.0,2042437.0,10257410.0,8922818.0,6762170.0,5089365.0,4802206.0
Argentina,1998,36241590.0,17739822,18501768,5066044.0,5228724.0,4511836.0,4550999.0,3447408.0,3373944.0,2672062.0,2518081.0,2804418.0,2068074.0,10294768.0,9062835.0,6821352.0,5190143.0,4872492.0
Argentina,1999,36648068.0,17934338,18713730,5084973.0,5248003.0,4575950.0,4620249.0,3476906.0,3406217.0,2726475.0,2566980.0,2849426.0,2092889.0,10332976.0,9196199.0,6883123.0,5293455.0,4942315.0
Argentina,2000,37057452.0,18131323,18926129,5102918.0,5267547.0,4637990.0,4688549.0,3509376.0,3440781.0,2780245.0,2616784.0,2895600.0,2117662.0,10370465.0,9326539.0,6950157.0,5397029.0,5013262.0
Argentina,2001,37471509.0,18331826,19139683,5113001.0,5279111.0,4702330.0,4759852.0,3548430.0,3480797.0,2833057.0,2662924.0,2942865.0,2149142.0,10392112.0,9462182.0,7029227.0,5495981.0,5092007.0
Argentina,2002,37889370.0,18535209,19354161,5130504.0,5299406.0,4761711.0,4826757.0,3588540.0,3521308.0,2884047.0,2709053.0,2989359.0,2178685.0,10429910.0,9588468.0,7109848.0,5593100.0,5168044.0
Argentina,2003,38309379.0,18740331,19569048,5150917.0,5323319.0,4814746.0,4887798.0,3633350.0,3566385.0,2933413.0,2755012.0,3036622.0,2207817.0,10474236.0,9702544.0,7199735.0,5688425.0,5244439.0
Argentina,2004,38728696.0,18945315,19783381,5168223.0,5343827.0,4858903.0,4940403.0,3687997.0,3621902.0,2981625.0,2800673.0,3086633.0,2238510.0,10512050.0,9799306.0,7309899.0,5782298.0,5325143.0
Argentina,2005,39145488.0,19148908,19996580,5179792.0,5357739.0,4892459.0,4982806.0,3754962.0,3690758.0,3028696.0,2845680.0,3140671.0,2271925.0,10537531.0,9875265.0,7445720.0,5874376.0,5412596.0
Argentina,2006,39558890.0,19350590,20208300,5199773.0,5379720.0,4913690.0,5010837.0,3831028.0,3768187.0,3070049.0,2881014.0,3193760.0,2310832.0,10579493.0,9924527.0,7599215.0,5951063.0,5504592.0
Argentina,2007,39970224.0,19551139,20419085,5209455.0,5390354.0,4926251.0,5030671.0,3920701.0,3860298.0,3111746.0,2917437.0,3250932.0,2352379.0,10599809.0,9956922.0,7780999.0,6029183.0,5603311.0
Argentina,2008,40382389.0,19752158,20630231,5214465.0,5395783.0,4933027.0,5044879.0,4017985.0,3961011.0,3152640.0,2954387.0,3312114.0,2396098.0,10610248.0,9977906.0,7978996.0,6107027.0,5708212.0
Australia,1970,12507000.0,6287527,6219473,1779327.0,1865798.0,1500200.0,1573213.0,1097281.0,1173666.0,996128.0,1007423.0,846537.0,667427.0,3645125.0,3073413.0,2270947.0,2003551.0,1513964.0
Australia,1971,12937000.0,6500973,6436027,1821991.0,1912133.0,1573794.0,1645376.0,1123346.0,1201436.0,1030167.0,1042309.0,886729.0,699719.0,3734124.0,3219170.0,2324782.0,2072476.0,1586448.0
Australia,1972,13177000.0,6618565,6558435,1837057.0,1929510.0,1624435.0,1693311.0,1135455.0,1213356.0,1046232.0,1060169.0,915256.0,722219.0,3766567.0,3317746.0,2348811.0,2106401.0,1637475.0
Australia,1973,13380000.0,6716999,6663001,1845395.0,1939583.0,1668160.0,1734110.0,1149737.0,1226643.0,1057054.0,1074022.0,942655.0,742641.0,3784978.0,3402270.0,2376380.0,2131076.0,1685296.0
Australia,1974,13723000.0,6884835,6838165,1868988.0,1965239.0,1725133.0,1789053.0,1184999.0,1261287.0,1077741.0,1098923.0,981304.0,770333.0,3834227.0,3514186.0,2446286.0,2176664.0,1751637.0
Australia,1975,13893000.0,6964865,6928135,1863515.0,1959693.0,1755644.0,1817236.0,1215872.0,1290175.0,1084539.0,1110136.0,1008565.0,787625.0,3823208.0,3572880.0,2506047.0,2194675.0,1796190.0
Australia,1976,14033000.0,7028679,7004321,1863663.0,1956456.0,1780371.0,1840526.0,1244182.0,1314558.0,1087020.0,1113356.0,1029085.0,803783.0,3820119.0,3620897.0,2558740.0,2200376.0,1832868.0
Australia,1977,14192000.0,7101052,7090948,1853510.0,1942536.0,1806515.0,1865377.0,1286052.0,1352623.0,1092519.0,1119707.0,1052352.0,820809.0,3796046.0,3671892.0,2638675.0,2212226.0,1873161.0
Australia,1978,14358000.0,7176834,7181166,1837453.0,1923222.0,1831456.0,1889045.0,1336234.0,1399130.0,1098643.0,1127075.0,1077380.0,838362.0,3760675.0,3720501.0,2735364.0,2225718.0,1915742.0
Australia,1979,14514000.0,7248722,7265278,1822042.0,1905995.0,1851809.0,1908392.0,1386727.0,1446056.0,1101980.0,1132236.0,1102720.0,856043.0,3728037.0,3760201.0,2832783.0,2234216.0,1958763.0
Australia,1980,14692000.0,7333536,7358464,1815654.0,1899818.0,1871239.0,1927704.0,1436857.0,1492970.0,1103968.0,1136766.0,1130746.0,876278.0,3715472.0,3798943.0,2929827.0,2240734.0,2007024.0
Australia,1981,14927000.0,7449087,7477913,1806116.0,1890887.0,1899595.0,1955241.0,1495502.0,1551240.0,1111132.0,1146201.0,1165568.0,905518.0,3697003.0,3854836.0,3046742.0,2257333.0,2071086.0
Australia,1982,15178000.0,7574562,7603438,1811522.0,1897824.0,1923052.0,1979987.0,1551568.0,1606384.0,1116188.0,1154470.0,1201108.0,935897.0,3709346.0,3903039.0,3157952.0,2270658.0,2137005.0
Australia,1983,15369000.0,7671254,7697746,1816811.0,1904839.0,1934349.0,1994048.0,1599003.0,1651756.0,1115569.0,1157700.0,1232014.0,962911.0,3721650.0,3928397.0,3250759.0,2273269.0,2194925.0
Australia,1984,15544000.0,7759947,7784053,1817358.0,1907009.0,1942850.0,2006009.0,1645724.0,1695471.0,1115669.0,1161906.0,1262452.0,989552.0,3724367.0,3948859.0,3341195.0,2277575.0,2252004.0
Australia,1985,15758000.0,7867239,7890761,1815344.0,1906413.0,1957113.0,2023766.0,1699145.0,1745278.0,1122340.0,1172521.0,1296819.0,1019261.0,3721757.0,3980879.0,3444423.0,2294861.0,2316080.0
Australia,1986,16018400.0,7996720,8021680,1827715.0,1921145.0,1981456.0,2046189.0,1752711.0,1796126.0,1133144.0,1183526.0,1326654.0,1049734.0,3748860.0,4027645.0,3548837.0,2316670.0,2376388.0
Australia,1987,16263900.0,8118032,8145868,1827165.0,1922588.0,2006186.0,2068749.0,1808535.0,1848842.0,1147116.0,1197264.0,1356866.0,1080589.0,3749753.0,4074935.0,3657377.0,2344380.0,2437455.0
Australia,1988,16532200.0,8249922,8282278,1824114.0,1921186.0,2032393.0,2093084.0,1868304.0,1904726.0,1167826.0,1217805.0,1389641.0,1113121.0,3745300.0,4125477.0,3773030.0,2385631.0,2502762.0
